Supply and demand series;;;;;;;;;;;;;;;;;;;;;;
Argentina - Production;;;;;;;;;;;;;;;;;;;;;;
;Oil;Natural gas;Coal;Hydroenergy;Nuclear;Firewood;Sugarcane and products;"Other Primary
";Total Primaries;Electricity;LPG;Gasoline/alcohol;Kerosene/jet fuel;Diesel oil;Fuel oil;Coke;Charcoal;Gases;Other secondary;Non-energy;Total Secundaries;Total
;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal
1970;201770,00;67776,79;3628,47;1670,00;;10230,40;3459,99;8670,00;297205,66;18680,00;5720,00;42759,99;12200,52;48290,00;87469,99;999,59;3392,95;7970,14;5040,00;9400,00;241923,17;297205,66
1971;217399,69;72366,62;3728,77;1660,00;;9630,10;3270,00;8580,00;316635,19;20316,72;5591,88;46564,51;11384,07;57611,40;92785,95;1101,59;3529,45;8476,81;5430,00;10240,01;263032,38;316635,19
1972;222960,51;71769,03;3988,37;1620,02;;9068,90;4280,00;6839,99;320526,82;21763,51;6721,43;47766,72;11418,47;57550,50;92239,54;550,80;2417,96;8335,70;5380,00;11180,01;265324,63;320526,82
1973;216299,35;76566,36;2660,88;3220,25;;6929,90;5940,01;5880,00;317496,74;22928,72;7785,42;52723,11;11700,33;59464,50;87609,05;1699,99;2001,97;8278,23;5890,00;12340,00;272421,32;317496,74
1974;212600,10;74059,79;3687,47;5370,00;4540,39;9988,90;5470,01;6149,99;321866,67;24036,25;6526,96;52117,17;13133,43;57959,39;84608,63;958,79;3477,45;9478,67;5659,45;14820,00;272776,19;321866,67
1975;203269,69;88061,69;2961,78;5590,09;8770,18;5920,20;5330,00;5700,00;325603,61;25234,06;6497,98;46934,60;12815,84;54958,39;80996,69;1019,99;1930,47;8473,55;5050,00;14899,99;258811,56;325603,61
1976;204859,70;97838,94;3628,47;5390,09;9050,12;5710,01;5310,00;5150,00;336937,32;25984,74;7215,09;48168,26;12991,84;60351,89;84071,35;822,79;2001,97;9330,19;5180,00;15240,00;271358,13;336937,32
1977;221670,00;98967,72;3150,58;6200,00;6528,67;6089,99;5700,00;5919,99;354226,94;27875,44;7438,55;50563,01;13081,82;64675,79;90609,63;1509,59;2112,47;9564,30;5670,00;16539,99;289640,58;354226,94
1978;232359,99;98951,12;2560,58;8330,00;10683,27;7619,90;5270,00;6110,00;371884,87;28753,07;7344,12;52526,67;12684,84;65693,70;87692,39;149,60;3236,95;10058,77;6810,00;15390,01;290340,12;371884,87
